Majority.protein.IDs	counts
A0A075B6I0	2
A0A075B6I9;P04211	2
A0A075B6K4	3
A0A075B6P5;A0A075B6S2;A0A075B6S6;A0A087WW87;A0A0A0MRZ7;A2NJV5;P01614;P01615;P06310	2
A0A0A0MRZ8;P04433	2
A0A0A0MS15	3
A0A0B4J1U7	2
A0A0B4J1V0	1
A0A0B4J1X5;A0A0C4DH42;A0A0J9YVY3;P01767	1
A0A0B4J1X8	1
A0A0B4J1Y9	2
A0A0C4DH25	1
A0A0C4DH38;A0A0J9YXX1	3
A0A075B6R2;A0A087WSY4;A0A0C4DH41;P01824;P01825;P06331;P0DP06;P0DP07;P0DP08	2
A0M8Q6	1
A1L4H1	5
B9A064;P0CG04	7
O00151	4
O00187	12
O00299	2
O00391	17
O00522	2
O00533	14
O00584	2
O00592	4
O00602	1
O14786	5
O14791	19
O15020	2
O15394	3
O43493	4
O43866	16
O75015	1
O75083	3
O75636	11
O75882	42
O94985	2
O95445	9
O95479	4
O95497	6
P00338	3
P00352	2
P00441	2
P00450	57
P00488	13
P00558	7
P00734	36
P00736	36
P00738	28
P00739	4
P00740	14
P00742	18
P00746	11
P00747	63
P00748	22
P00751	44
P00915	13
P00918	8
P01008	35
P01009	30
P01011	24
P01019	16
P01023	58
P01024	143
P01031	89
P01033	6
P01034	5
P01040	4
P01042	39
P01137	3
P01344	2
P01591	5
P01597;P04432	3
P01619	3
A0A087WSY6;P01624	3
P01699;P01700	2
P01706;P01709	2
A0A0B4J2H0;A0A0C4DH29;P01742;P01743;P0DP01	2
P01764;P01768;P0DP03	2
A0A0B4J1V1;P01762;P01763;P01780	4
P01782;P0DP04	1
P01834	7
P01857	13
P01859	5
P01860	8
P01861	6
P01871	19
P01876	14
P01877	2
P01880	3
P01889;P01893;P04439;P10321;P13747;P17693	2
P02042	4
P02452	3
P02647	37
P02649	31
P02652	9
P02654	8
P02655	5
P02656	5
P02671	27
P02675	9
P02679	12
P02730	3
P02741	4
P02743	11
P02745	4
P02746	9
P02747	6
P02748	27
P02749	23
P02750	12
P02751	100
P02753	10
P02760	18
P02763	7
P02765	11
P02766	10
P02774	37
P02775	7
P02776	6
P02786	19
P02787	54
P02788	21
P02790	33
P03950	6
P03951	22
P03952	35
P04003	37
P04004	20
P04040	12
P04070	11
P04075	6
P04114	308
P04180	9
P04196	23
P04217	14
P04275	86
P04278	11
P04350;P07437;P68371;Q13509;Q13885;Q9BUF5;Q9BVA1	1
P04406	6
P04746;P0DTE7;P0DTE8;P0DUB6;P19961	3
P04908;P0C0S5;P0C0S8;P16104;P20671;Q16777;Q6FI13;Q71UI9;Q7L7L0;Q8IUE6;Q93077;Q96KK5;Q96QV6;Q99878;Q9BTM1	2
P05019	3
P05062	4
P05067	10
P05090	10
P05106	8
P05109	11
P05154	16
P05155	24
P05156	25
P05160	31
P05164	6
P05362	6
P05451	3
P05452	10
P05543	15
P05546	24
P05556	5
P06276	11
P06312	3
P06681	35
P06702	6
P06727	40
P06732	2
P06733	7
P06753	1
P07108	2
P07195	10
P07225	26
P07237	8
P07307	5
P07333	3
P07339	8
P07357	18
P07358	26
P07359	7
P07360	11
P07602	4
P07737	5
P07858	2
P07900;P08238;Q14568;Q58FF8	2
P07942	6
P08174	2
P08185	9
P08195	2
P08253	10
P08294	4
P08514	6
P08519	28
P08567	3
P08571	11
P08603	78
P08637	5
P08697	21
P08709	2
P09172	16
P09486	8
P09493	1
P09871	26
P09960	4
P09972	1
P0C0L4	100
P0C0L5	5
P0CG38;P0CG39	1
P0CG47;P0CG48;P62979;P62987	3
P0DJI8	1
P0DJI9	3
P0DMV8;P0DMV9	1
P0CF74;P0DOY2;P0DOY3	2
P0DP23;P0DP24;P0DP25	2
P0DPH7;P0DPH8;P68363;Q6PEY2;Q71U36;Q9BQE3	2
P10124	3
P10586	3
P10599	3
P10643	43
P10645	3
P10720	1
P10721	8
P10909	23
P11021	16
P11142;P34931;P54652	3
P11226	12
P11279	4
P11362	3
P11597	8
P11717	8
P12110	2
P12111	29
P12259	48
P12814	6
P12821	6
P12830	5
P12955	8
P13473	4
P13591	15
P13598	4
P13671	40
P13727	3
P13796	23
P13987	2
P14151	8
P14543	10
P14618	5
P14625	6
P14735	2
P14780	15
P14923	4
P15144	17
P15151	4
P15169	13
P15924	11
P16035	5
P16070	4
P16109	6
P17813	2
P17900	2
P17936	16
P18065	10
P18206	19
P18428	8
P19022	2
P19320	16
P19652	4
P19823	37
P19827	29
P20742	36
P20851	12
P21333	48
P22105	16
P22352	7
P22692	5
P22792	14
P22891	9
P22897	7
P23142	23
P23470	6
P23528	8
P24592	4
P24593	4
P24821	8
P25311	23
P15311;P26038;P35241	7
P26447	3
P26927	21
P27169	9
P27487	3
P27797	6
P27918	12
P28799	2
P29401	4
P29622	21
P30041	2
P30043	4
P30740	2
P31146	5
P31151;Q86SG5	4
P32119	6
P33151	9
P33908	10
P34096	4
P35443	7
P35542	6
P35555	6
P35579	6
P35858	19
P35916	4
P36222	6
P36955	17
P36980	6
P37802	6
P37837	3
P37840;Q16143	2
P39060	5
P40189	4
P40197	11
P41222	4
P43121	14
P43251	10
P43652	36
P46109	2
P48740	22
P49454	1
P49908	8
P49913	5
P50453	2
P51884	14
P52209	3
P52566	3
P54108	4
P54289	2
P54802	4
P55056	8
P55058	5
P55103	2
P55290	7
P58335	2
P58546	2
P59665;P59666	2
P60174	4
P60709;P63261	17
A6NIZ1;P61224;P62834	4
P61626	9
P61769	2
P61916	2
P62258	1
P62328	6
P62805	4
P62937	6
P63104	5
P67936	8
P62736;P63267;P68032;P68133	1
P68104;Q05639;Q5VTE0	3
P68366	5
P68871	13
P78324;Q5TFQ8;Q9P1W8	2
P78417	4
P80108	23
P80188	5
P80511	2
P80723	2
A0A075B6K5;P80748	3
P81605	4
P98160	24
Q01459	7
Q02413	2
Q02487	2
Q02985	7
Q03591	7
A0A096LNW5;P0DPK3;P0DPK4;Q04721;Q7Z3S9	2
Q04756	18
Q06033	24
Q06830;Q13162	2
Q07092	2
Q07954	9
Q08380	17
Q08554	3
Q10588	3
Q12805	17
Q12841	5
Q12860	6
Q12884	2
Q12907	3
Q12913	7
Q13023	2
Q13093	11
Q13103	5
Q13201	10
Q13508	5
Q13740	8
Q13790	4
Q13822	11
Q13867	3
Q14118	4
Q14126	7
Q14515	10
Q14520	17
Q14624	38
Q14766	8
Q15113	11
Q15166	8
Q15485	7
Q15517	2
Q15582	14
Q15828	2
Q15848	4
Q16270	3
Q16610	21
P49641;Q16706	2
Q16853	2
Q3V6T2	2
Q4G0P3	2
Q4LDE5	4
Q5T749	4
Q5VWX1	2
Q6EMK4	6
Q6P179	3
Q6UWP8	2
Q6UX71	6
Q6UXB8	9
Q6UY14	3
Q6YHK3	6
Q6YP21	2
Q76LX8	16
Q7Z7G0	6
Q7Z7M0	5
Q86TH1	2
Q86U17	2
Q86UD1	4
Q86UX7	3
Q86VB7	9
Q86VD1	2
Q86VW0	2
Q86YW5	2
Q8IZF2	4
Q8N6C8	3
Q8NBJ4	2
Q8NBP7	5
Q8WWZ8	2
Q8WZ42	2
Q8WZ75	3
Q92496	4
Q92520	2
Q92736	2
Q92820	8
Q92954	26
Q96IY4	14
Q96KN2	16
Q96NZ9	2
Q96PD5	13
Q96S96	4
Q99497	2
Q99784	5
Q99969	3
Q99972	4
Q9BTY2	2
Q9BUN1	2
Q9BWP8	5
Q9BXR6	16
Q9BYE9	2
Q9H4A9	3
Q9H4G4	3
Q9H6X2	1
Q9H8L6	3
Q9HBB8	2
Q9HBR0	3
Q9HDC9	6
Q9NPH3	7
Q9NPY3	7
Q9NQ79	13
Q9NR09	2
Q9NY97	2
Q9NZD4	2
Q9NZK5	3
Q9NZP8	12
Q9NZT1	2
Q9UBQ6	2
Q9UGM5	10
Q9UHG3	12
Q9UJJ9	2
Q9UK55	12
Q9ULI3	4
Q9UNN8	3
Q9UNW1	3
Q9Y274	2
Q9Y490	30
Q9Y4L1	3
Q9Y5C1	2
Q9Y5Y7	6
Q9Y6R7	47
Q9Y6Z7	5
