filename	Pool	Center	CommonReference	FSGS	heathy
P_4.RIC_1	Pool4	Center3	1	0	0
P_4.RIC_2	Pool4	Center3	0	0	1
P_4.RIC_3	Pool4	Center3	0	1	0
P_4.RIC_4	Pool4	Center3	0	0	1
P_4.RIC_5	Pool4	Center3	0	1	0
P_4.RIC_6	Pool4	Center3	0	0	1
P_4.RIC_7	Pool4	Center3	0	1	0
P_4.RIC_8	Pool4	Center3	0	0	1
P_4.RIC_9	Pool4	Center3	0	1	0
P_4.RIC_10	Pool4	Center3	0	0	1
P_4.RIC_11	Pool4	Center3	0	1	0
P_6.RIC_1	Pool6	Center3	1	0	0
P_6.RIC_2	Pool6	Center3	0	0	1
P_6.RIC_3	Pool6	Center3	0	1	0
P_6.RIC_4	Pool6	Center3	0	0	1
P_6.RIC_5	Pool6	Center3	0	1	0
P_6.RIC_6	Pool6	Center3	0	0	1
P_6.RIC_7	Pool6	Center3	0	1	0
P_6.RIC_8	Pool6	Center3	0	0	1
P_6.RIC_9	Pool6	Center3	0	1	0
P_6.RIC_10	Pool6	Center3	0	0	1
P_6.RIC_11	Pool6	Center3	0	1	0
